model,mean,ci_low,ci_high,n_scored
o3,5.46242774566474,4.693497109826589,6.2372832369942195,173
gemini-2.5-pro,5.358381502890174,4.635693641618497,6.098843930635837,173
claude-3.7-sonnet,5.23121387283237,4.5085260115606935,5.959682080924856,173
grok-3-beta,5.202312138728324,4.508670520231214,5.919219653179191,173
gpt-4.1,5.0,4.358236994219653,5.728468208092486,173
gpt-4.5,4.91907514450867,4.195953757225433,5.6190751445086695,173
